lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.1040345,-77.0314202,Miraflores,510,27,1,1,4
-12.1370737,-77.0225557,Barranco,580,60,2,2,6
-12.0787906,-77.0351187,Cercado de Lima,450,36,1,1,2
-12.1405385,-77.0241077,Barranco,700,47,1,1,8
-12.092178,-77.05012339999999,San Isidro,2490,200,3,3,5
-12.3562961,-76.8045555,Punta Negra,2500,140,4,3,1
-11.9724216,-77.0558366,Comas,278,100,3,2,5
-12.10059972637976,-77.0372539950371,San Isidro,1200,130,2,2,42
-12.1229998,-77.0200062,Miraflores,1100,115,2,2,4
-12.12747,-77.0357059,Miraflores,1600,128,2,2,15
-12.1279495,-77.0297974,Miraflores,900,78,1,1,9
-12.1247619,-77.0222359,Miraflores,890,75,1,1,3
-12.1156844,-77.0123294,Surquillo,730,80,3,2,10
-12.1994808,-77.006311,Chorrillos,464,80,3,2,20
-12.1042563,-77.0516281,San Isidro,1500,150,3,3,23
-12.1414618,-77.02509649999999,Barranco,2500,215,3,2,15
-12.081503,-77.0923099,San Miguel,565,46,1,1,8
-12.0954457,-77.0365496,San Isidro,928,45,1,1,1
-12.1330598,-77.0263293,Miraflores,1900,130,3,2,9
-12.017416,-77.0969799,Callao,435,100,3,2,5
-12.1231667,-77.0212057,Miraflores,1050,84,2,1,8
-12.1436714,-77.00401889999999,Santiago de Surco,420,55,1,1,3
-12.1057485,-77.0284023,Miraflores,600,50,1,1,36
-12.1050964,-77.0208553,Surquillo,536,40,1,1,6
-12.3240329,-76.8344421,Punta Hermosa,600,125,3,3,7
-12.1251229,-77.0339545,Miraflores,1270,150,3,3,3
-12.159110806995892,-77.02418915767213,Chorrillos,1750,189,3,3,14
-12.0996082,-77.0400641,San Isidro,2000,208,3,2,14
-12.1148223,-77.0401207,Miraflores,950,95,2,2,3
-12.0708291,-77.05055589999999,Pueblo Libre,493,45,1,1,7
-12.1504192,-77.0185799,Barranco,590,40,1,1,2
-12.1187169,-77.0180125,Miraflores,700,80,2,2,3
-12.1454342,-77.0065985,Santiago de Surco,590,80,3,2,15
-12.117715,-77.0263858,Miraflores,1200,110,3,2,4
-12.1158981,-77.0331271,Miraflores,900,120,2,2,6
-12.118858359015528,-77.0326600511187,Miraflores,1300,110,3,2,10
-12.1231682,-77.0319569,Miraflores,1500,135,3,2,6
-12.1078188,-77.0130231,Surquillo,1500,164,3,2,26
-12.103256557807038,-77.02904719263748,San Isidro,430,35,1,1,20
-12.122896227485825,-77.03054554759603,Miraflores,600,60,1,1,22
-12.0818117,-77.1038417,San Miguel,696,85,3,2,8
-12.147876578056431,-77.01771687529069,Barranco,600,60,2,1,3
-12.1416088,-76.9918155,Santiago de Surco,1200,233,3,4,9
-12.1353995,-77.027611,Miraflores,3200,280,4,2,20
-12.0842166,-77.0578658,Jesus Maria,783,55,2,2,1
-12.0742877,-77.07878459999999,San Miguel,667,80,3,2,10
-12.1337057,-77.028807,Miraflores,4000,465,3,4,13
-12.1231682,-77.0319569,Miraflores,1100,65,1,1,8
-12.12747,-77.0357059,Miraflores,2300,180,3,2,5
-12.0385625,-76.965992,El Agustino,304,75,2,1,5
-12.09525157017712,-76.99309851852418,San Borja,1400,200,3,2,11
-12.0851279,-76.9617709,La Molina,2200,173,2,2,8
-12.1394891,-77.0231343,Barranco,678,32,1,1,1
-12.115483644065414,-77.03344578467123,Miraflores,2300,200,2,3,8
-12.1848841,-77.0074502,Chorrillos,720,66,2,2,10
-12.1394891,-77.0231343,Barranco,1250,80,1,2,2
-12.1412772,-76.9872517,Santiago de Surco,725,120,3,2,30
-12.1182819,-77.0154352,Miraflores,970,74,3,2,2
-12.0943903,-76.9663763,Santiago de Surco,600,45,1,1,22
-12.0904463,-77.060162,Magdalena del Mar,870,87,3,2,2
-12.09720342004,-77.0321202714722,San Isidro,1026,62,1,1,9
-12.0969854,-77.0320453,San Isidro,762,46,1,1,9
-12.094778,-76.97285169999999,Santiago de Surco,812,112,3,2,10
-12.0888396,-77.0269167,Lince,1300,110,3,2,6
-12.0910696,-77.0584875,Magdalena del Mar,1000,98,3,2,12
-12.09557529056561,-76.97283024232787,Santiago de Surco,814,107,3,2,15
-12.0841783,-77.0627954,Pueblo Libre,493,40,1,1,7
-12.1128098,-77.0499044,Miraflores,2900,330,4,4,8
-12.1115949,-77.0508033,Miraflores,2900,233,4,4,10
-12.1291298,-77.0333814,Miraflores,1780,160,3,2,3
-12.0971766,-77.0321952,San Isidro,800,75,1,1,9
-12.01977,-77.0395819,Rimac,319,55,2,1,4
-12.083020954647097,-77.06243001957398,Pueblo Libre,650,100,2,2,40
-12.1177588,-77.01413749999999,Miraflores,535,45,1,1,1
-12.1215652,-77.011252,Miraflores,800,80,2,3,1
-12.1254334,-77.03698689999999,Miraflores,6500,460,4,4,14
-12.1254297,-77.0369986,Miraflores,3500,220,3,3,14
-12.0896253,-77.0294774,San Isidro,664,74,2,2,7
-12.0943335,-77.01509159999999,San Isidro,1600,240,3,2,30
-12.1187169,-77.0180125,Miraflores,630,97,2,2,15
-12.1222033,-77.0321486,Miraflores,1300,115,2,2,10
