latitud,longitud,distrito_oficial,dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos
-12.128468587228756,-77.03419109695892,Miraflores,0.5355601258565442,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.1362116,-77.0266046,Miraflores,0.6870745943539088,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1337848,-77.0189891,Barranco,1.2364136950921467,19,15.0,33.0,56.0,20.0,29.0,12.0,16.0,59.4,98.0,284.4,139.2,41.1,263.0,317.9
-12.1291512,-77.0234315,Miraflores,0.7430796947860241,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.1366941,-77.0224643,Barranco,1.0353708996975652,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1008025,-77.061536,Magdalena del Mar,1.3916822302345468,2,9.0,23.0,45.0,34.0,17.0,12.0,6.0,109.8,349.9,99.5,26.8,449.4,608.7,452.7
-12.13737278795826,-77.02239544232788,Barranco,1.0888393486023618,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.0836794,-77.0672463,Pueblo Libre,0.7075802536181336,186,11.0,60.0,60.0,60.0,37.0,12.0,16.0,306.6,140.0,102.9,114.9,25.7,357.3,193.5
-12.1072381,-77.0370929,Miraflores,0.4022829808725187,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.1276347,-77.0216056,Miraflores,0.9863192352985964,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.1072381,-77.0370929,Miraflores,0.4022829808725187,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.1302499,-77.0212,Miraflores,0.9602952050198648,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.119096,-77.0303078,Miraflores,1.3240873027990674,43,19.0,60.0,60.0,60.0,60.0,30.0,60.0,151.7,71.3,137.2,56.6,48.8,109.4,16.9
