dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos,distrito,m2,dormitorios,banos,cocheras,antiguedad_anios,lat,lng,price_usd,coord_cell
5.889978004163322,37.0625,7.0,48.0,47.375,17.125,26.8125,5.5,5.0,383.41249999999997,163.36875,182.71875,220.0125,270.47499999999997,408.83750000000003,385.1125,San Juan de Miraflores,116.0,5.0,2.0,0.0,0.0,-12.197670964639604,-76.96004585760625,100000.0,-12.198_-76.96
1.6512364579693046,77.0,21.0,46.00000000000001,56.0,58.00000000000001,58.00000000000001,24.000000000000004,40.0,317.5,211.6,64.4,390.80000000000007,198.60000000000002,170.8,181.8,San Isidro,131.0,3.0,3.0,2.0,0.0,-12.0944058,-77.0506232,285000.0,-12.094_-77.051
3.5905635860215206,12.496420515711005,12.103764869197711,31.19998005667371,51.120856027221365,48.264383990420185,21.866695222759088,7.553140714885808,29.052089236576887,281.2768359241189,76.13805311813424,204.53271466586557,126.14068814198009,312.08492782669583,251.73190484256014,300.95152337368756,San Borja,124.0,3.0,2.0,1.0,0.0,-12.1006723,-77.00706679999999,198500.0,-12.101_-77.007
21.033913976475468,12.0,3.6,41.6,23.2,3.8,11.2,2.2,2.8,439.76000000000005,168.84,200.92,373.71999999999997,379.08,352.62,467.93999999999994,Puente Piedra,147.0,4.0,2.0,0.0,0.0,-11.9007017,-77.0582216,95000.0,-11.901_-77.058
1.1805263745513672,19.0,15.0,33.0,56.0,20.0,29.0,12.0,16.0,59.4,98.0,284.4,139.20000000000002,41.10000000000001,263.0,317.9,Barranco,112.0,3.0,2.0,1.0,0.0,-12.1334927,-77.0195773,194000.0,-12.133_-77.02
3.8208233188329657,15.645457256697572,7.000000000000002,50.959330857025684,58.191866171405145,36.863397771323115,37.4244014857846,7.095933085702569,10.287799257107705,257.32395764974,253.03757096781067,186.3654163166352,315.68104384144374,377.8276490524879,366.32231895455175,412.8518542419358,Santiago de Surco,104.0,3.0,3.0,1.0,0.0,-12.1228052,-76.9967739,200000.0,-12.123_-76.997
6.997840309843086,13.18885870703566,6.797214676758915,21.18885870703566,34.62228258592867,30.174932090830232,29.986073383794576,19.769361444348068,22.16100547462481,389.57190960913533,237.84018283111794,141.26205838094037,133.54307075121022,212.4131108683436,409.63440866658266,176.7502375773661,Santiago de Surco,169.0,4.0,3.0,1.0,0.0,-12.1047849,-76.9707507,250000.0,-12.105_-76.971
1.3868263040670397,7.0,6.0,9.0,12.999999999999998,18.0,6.0,3.0,12.0,424.8999999999999,563.0999999999999,250.49999999999997,322.99999999999994,432.19999999999993,448.59999999999997,245.89999999999998,Miraflores,180.0,3.0,3.0,2.0,0.0,-12.11221498189616,-77.05033779144287,545000.0,-12.112_-77.05
5.966920275146736,5.217736776365937,5.708777611453433,17.108414504535293,35.74914986587011,12.605806468980155,17.456111942732832,10.200726213836283,4.274211826016913,226.57889895679008,383.03615461830407,193.7963794489872,188.2438278099175,358.6232674862284,85.289432308326,757.142549148562,Santiago de Surco,139.0,4.0,3.0,2.0,0.0,-12.1195432,-76.9769226,210000.0,-12.12_-76.977
4.280793351856197,15.513416228548738,7.513719390622851,60.0,50.60091471703709,14.897787701642777,23.238588936049524,6.595371722137649,5.171676399530324,293.33162726947944,196.3312947480212,222.5526818418624,192.75805755662316,315.2667155098395,198.40398901234815,633.1410410486033,Santiago de Surco,113.0,3.0,2.0,0.0,0.0,-12.1628174181118,-76.98115468112519,116000.0,-12.163_-76.981
