id,title,price_usd,precio_m2,m2,lat,lng,address,distrito,dormitorios,banos,cocheras,antiguedad_anios,construction_state,property_type,url
189953717,Hermoso Flat vista a la Calle en Miraflores !!!,226414.43,2219.7,102,-12.1307806712747,-77.020531929361,,,3,3,1,0,A estrenar,Departamento,/hermoso-flat-vista-a-la-calle-en-miraflores-/189953717
189954122,Último dúplex en Miraflores con excelentes acabados,473148.1,3013.7,157,-12.1152118246802,-77.0407193391785,,,3,3,2,0,A estrenar,Departamento,/ultimo-duplex-en-miraflores-con-excelentes-acabados/189954122
189954479,Estupendo y Moderno Triplex de Estreno *Terraza y Vista a la Calle*,380787.91,2572.9,148,-12.1155223,-77.0404348,,,3,3,2,0,A estrenar,Departamento,/estupendo-y-moderno-triplex-de-estreno-terraza-y-vista-a-la-calle/189954479
189851418,ALQUILER O VENTA DEPARTAMENTO 127M2 EN SAN ISIDRO,608257.88,4789.4,127,-12.0986317881512,-77.0172631772965,,,2,3,2,0,Buen estado,Departamento,/alquiler-o-venta-departamento-127m2-en-san-isidro/189851418
189851572,LINDO DPTO. EN MALECON CON TERRAZA Y VISTA LATERAL AL MAR,645553.81,2934.3,220,-12.1257471249604,-77.0333142576721,,,3,3,3,0,Buen estado,Departamento,/lindo-dpto-en-malecon-con-terraza-y-vista-lateral-al-mar/189851572
189851582,"VENTA DE DEPARTAMENTO, CANTUARIAS, MIRAFLORES",209921.54,2499.1,84,-12.1214166036739,-77.0271058533035,,,2,2,2,0,Buen estado,Departamento,/venta-de-departamento-cantuarias-miraflores/189851582
189952370,"OPORTUNIDAD  DE COMPRA, DEPARTAMENTO EN MIRAFLORES",154373.48,1882.6,82,-12.1261097434595,-77.0160786404755,,,2,1,0,0,Buen estado,Departamento,/oportunidad-de-compra-departamento-en-miraflores/189952370
189927430,Duplex Penthouse en Urb. GOLF LOS INCAS,542432.91,1454.2,373,-12.0791628365,-76.9590985866,,,4,3,2,0,Buen estado,Departamento,/duplex-penthouse-en-urb-golf-los-incas/189927430
189851223,VENTA DE LINDO Y MODERNO DEPARTAMENTO DUPLEX EN EXCLUSIVO EDIFICIO - MIRAFLORES,487925.74,2921.7,167,-12.1106209,-77.0314129,,,3,3,2,0,A estrenar,Departamento,/venta-de-lindo-y-moderno-departamento-duplex-en-exclusivo-edificio-miraflores/189851223
189952496,DÚPLEX DE 4 DORMITORIOS EN MAGDALENA !!,237966.79,1575.9,151,-12.0875316096217,-77.0639091087031,,,4,3,0,0,A estrenar,Departamento,/duplex-de-4-dormitorios-en-magdalena-/189952496
189952734,EXCLUSIVO DEPARTAMENTO DE 3 DORM. EN CHACARILLA SURCO!!,275585.24,2355.4,117,-12.113299818583,-76.980321053035,,,3,2,1,0,A estrenar,Departamento,/exclusivo-departamento-de-3-dorm-en-chacarilla-surco/189952734
189899353,Precioso Departamento en San Isidro,957019.04,3753.0,255,-12.1040549,-77.0485758,,,3,3,2,0,Buen estado,Departamento,/precioso-departamento-en-san-isidro/189899353
189899453,DEPARTAMENTO en VENTA en MIRAFLORES a 2 cdras. del malecón,485533.17,2207.0,220,-12.111062,-77.0315913,,,3,3,2,0,A estrenar,Departamento,/departamento-en-venta-en-miraflores-a-2-cdras-del-malecon/189899453
189908503,PRECIOSO FLAT DE CARACTER FRENTE AL MALECON CISNEROS,324360.22,2221.6,146,-12.1233306931487,-77.0387234898606,,,3,3,1,0,Buen estado,Departamento,/precioso-flat-de-caracter-frente-al-malecon-cisneros/189908503
189860914,Flat frente al golf  san Isidro 232m2.,620865.78,2676.1,232,-12.0971829,-77.032585,,,3,2,2,0,Buen estado,Departamento,/flat-frente-al-golf-san-isidro-232m2/189860914
189630554,SE VENDE DEPA EN LOS ROBLES PISO 3 SAN ISIDRO! CLUB HOUSE! VISTA EXTERIOR!,325899.56,2378.8,137,-12.0939179,-77.0429812,,,3,3,2,0,Buen estado,Departamento,/se-vende-depa-en-los-robles-piso-3-san-isidro-club-house-vista-exterior/189630554
189600447,DEPARTAMENTO EN VENTA EN SEGUNDO PISO - LOS OLIVOS,151998.5,1013.3,150,-11.9594023,-77.0760457,,,2,2,0,0,Buen estado,Departamento,/departamento-en-venta-en-segundo-piso-los-olivos/189600447
189245328,BRESCIA,154433.29,1906.6,81,-12.0943185,-77.0699303,,,2,2,0,0,A estrenar,Departamento,/brescia/189245328
189245325,BRESCIA,143861.71,2026.2,71,-12.0943185,-77.0699303,,,1,1,0,0,A estrenar,Departamento,/brescia/189245325
189355360,HERMOSO DEPARTAMENTO EN VENTA,289395.29,2175.9,133,-12.1144355302746,-76.9695903772461,,,3,2,2,0,Buen estado,Departamento,/hermoso-departamento-en-venta/189355360
189121136,EXCLUSIVO DEPARTAMENTO DE ESTRENO,313731.47,2394.9,131,-12.111062,-77.0315913,,,2,3,2,0,A estrenar,Departamento,/exclusivo-departamento-de-estreno/189121136
189108677,Excelente Duplex en Chacarilla,559000.0,1803.2,310,-12.1181161453615,-76.9811700800426,,,5,3,2,0,Buen estado,Departamento,/excelente-duplex-en-chacarilla/189108677
189631056,"Miraflores · $386,000 · 138 m² · 3 Dormitorios ·2 cocheras",437998.45,3173.9,138,-12.1290609,-77.0284868,,,3,2,2,0,A estrenar,Departamento,/miraflores-·-386000-·-138-m²-·-3-dormitorios-·2-cocheras/189631056
